Nombre del archivo,Cantidad de palabras
001-PR-02906.txt,10369
001-VI-00007.txt,38679
001-VI-00014.txt,15491
001-VI-00015.txt,9310
001-VI-00016.txt,26149
001-VI-00034.txt,9849
031-VI-00014.txt,8354
031-VI-00022.txt,6362
032-VI-00012.txt,4736
032-VI-00024.txt,3395
033-VI-00001.txt,5324
033-VI-00021.txt,6297
033-VI-00027.txt,6011
033-VI-00034.txt,7066
036-VI-00019.txt,2673
040-VI-00004.txt,4886
040-VI-00005.txt,9824
040-VI-00009.txt,11152
040-VI-00015.txt,2441
040-VI-00020.txt,6692
040-VI-00047.txt,2803
043-VI-00001.txt,7432
043-VI-00004.txt,14186
043-VI-00008.txt,6452
043-VI-00031.txt,11471
044-VI-00013.txt,42568
045-VI-00027.txt,8046
045-VI-00076.txt,7645
045-VI-00093.txt,10700
045-VI-00130.txt,5599
045-VI-00144.txt,7895
045-VI-00151.txt,4573
045-VI-00159.txt,5206
045-VI-00164.txt,11849
045-VI-00165.txt,9133
046-VI-00013.txt,6979
046-VI-00036.txt,3602
046-VI-00043.txt,5257
046-VI-00065.txt,4815
046-VI-00109.txt,3372
046-VI-00136.txt,1951
046-VI-00148.txt,5873
046-VI-00158.txt,1202
046-VI-00162.txt,6584
046-VI-00187.txt,9865
047-VI-00007.txt,14911
047-VI-00019.txt,7130
047-VI-00042.txt,4589
047-VI-00066.txt,4834
047-VI-00099.txt,3718
048-VI-00035.txt,2590
056-VI-00010.txt,10757
056-VI-00019.txt,12526
057-VI-00026.txt,7490
057-VI-00027.txt,13282
058-VI-00006.txt,4519
058-VI-00013.txt,11840
059-PR-00004.txt,23673
060-PR-00777.txt,46467
060-VI-00003.txt,8038
060-VI-00005.txt,5352
060-VI-00009.txt,12055
060-VI-00010.txt,9704
060-VI-00011.txt,7093
062-VI-00008.txt,10219
062-VI-00020.txt,12652
065-VI-00004.txt,13839
068-VI-00014.txt,14835
068-VI-00020.txt,9157
070-PR-00886.txt,49078
070-PR-00889.txt,20611
070-PR-00891.txt,11598
070-PR-00893.txt,19425
070-VI-00016.txt,18812
070-VI-00026.txt,22914
070-VI-00027.txt,19581
070-VI-00035.txt,11581
070-VI-00036.txt,13240
070-VI-00038.txt,10991
070-VI-00050.txt,11496
070-VI-00058.txt,11257
070-VI-00100.txt,13904
075-VI-00005.txt,8215
076-HV-00007.txt,28591
076-HV-00022.txt,14067
077-PR-00131.txt,21315
077-PR-00443.txt,22572
077-PR-00447.txt,15931
077-VI-00002.txt,23756
077-VI-00013.txt,18085
077-VI-00014.txt,6704
077-VI-00018.txt,18642
079-VI-00002.txt,4062
079-VI-00024.txt,6238
080-VI-00039.txt,9788
083-PR-00236.txt,12898
087-AA-00001.txt,21147
088-VI-00009.txt,24099
088-VI-00014.txt,11790
089-VI-00006.txt,16078
089-VI-00010.txt,16758
089-VI-00022.txt,27134
093-VI-00021.txt,24980
098-VI-00002.txt,31458
098-VI-00003.txt,12514
098-VI-00004.txt,17916
098-VI-00036.txt,29830
100-VI-00016.txt,15720
100-VI-00026.txt,8599
101-VI-00002.txt,12942
101-VI-00003.txt,5423
101-VI-00005.txt,19080
101-VI-00006.txt,8026
101-VI-00007.txt,23740
101-VI-00026.txt,7748
101-VI-00027.txt,6324
1044-PR-02079.txt,9898
1052-PR-03209.txt,7516
1052-PR-03234.txt,7516
1066-HV-00066.txt,22536
109-VI-00016.txt,12772
109-VI-00037.txt,16556
109-VI-00042.txt,15289
1096-PR-02509.txt,15289
110-VI-00001.txt,14166
110-VI-00006.txt,23443
1109-VI-00002.txt,15400
1109-VI-00003.txt,15400
111-PR-00696.txt,9641
111-VI-00003.txt,19690
111-VI-00010.txt,28937
1110-VI-00002.txt,28937
112-VI-00003.txt,9298
112-VI-00012.txt,15857
112-VI-00029.txt,8998
1122-VI-00001.txt,24265
113-VI-00007.txt,26270
115-VI-00024.txt,3890
116-VI-00001.txt,6542
1174-HV-00150.txt,6542
118-VI-00008.txt,8663
118-VI-00009.txt,3409
1194-VI-00001.txt,32530
120-VI-00003.txt,9861
121-VI-00003.txt,22270
123-PR-00016.txt,89657
123-PR-03457.txt,6893
125-VI-00004.txt,9961
125-VI-00028.txt,12154
126-VI-00007.txt,24054
126-VI-00023.txt,14454
126-VI-00030.txt,10645
126-VI-00039.txt,16527
126-VI-00065.txt,18155
131-VI-00016.txt,3941
136-VI-00003.txt,12354
136-VI-00019.txt,11523
136-VI-00021.txt,23036
136-VI-00037.txt,10895
136-VI-00039.txt,18349
136-VI-00055.txt,13525
136-VI-00079.txt,4822
138-VI-00005.txt,6720
139-VI-00023.txt,4248
139-VI-00037.txt,11846
139-VI-00042.txt,8021
139-VI-00053.txt,10099
139-VI-00070.txt,11905
139-VI-00072.txt,5832
139-VI-00079.txt,11853
139-VI-00091.txt,26475
139-VI-00094.txt,7126
139-VI-00096.txt,7239
139-VI-00116.txt,13790
140-VI-00046.txt,27232
140-VI-00052.txt,8097
140-VI-00077.txt,11867
141-VI-00014.txt,20551
141-VI-00021.txt,20557
143-PR-00047.txt,29805
143-PR-00081.txt,9106
143-PR-00082.txt,9484
143-PR-00088.txt,2943
143-PR-00124.txt,24615
143-PR-00186.txt,15912
143-PR-02663.txt,8200
144-VI-00008.txt,6762
