Nombre del archivo;Cantidad de palabras
001-PR-00679.txt;9412
001-PR-00842.txt;9167
001-PR-02460.txt;13953
001-PR-02906.txt;10369
001-VI-00001.txt;5079
001-VI-00002.txt;12853
001-VI-00003.txt;17976
001-VI-00004.txt;10623
001-VI-00005.txt;13811
001-VI-00006.txt;20349
001-VI-00007.txt;38679
001-VI-00008.txt;13594
001-VI-00009.txt;5444
001-VI-00010.txt;17235
001-VI-00011.txt;16677
001-VI-00012.txt;17490
001-VI-00013.txt;12666
001-VI-00014.txt;15491
001-VI-00015.txt;9310
001-VI-00016.txt;26149
001-VI-00017.txt;13731
001-VI-00018.txt;24278
001-VI-00019.txt;26945
001-VI-00020.txt;10254
001-VI-00023.txt;10551
001-VI-00031.txt;7671
001-VI-00034.txt;9849
001-VI-00046.txt;30994
001-VI-00051.txt;12657
001-VI-00057.txt;12387
001-VI-00060.txt;8940
001-VI-00062.txt;6965
001-VI-00070.txt;13346
036-VI-00055.txt;3874
037-VI-00026.txt;6591
043-VI-00004.txt;14186
043-VI-00008.txt;6452
043-VI-00031.txt;11471
044-VI-00013.txt;42568
046-VI-00111.txt;6872
047-VI-00095.txt;10706
050-VI-00001.txt;27429
056-PR-00853.txt;22602
056-VI-00063.txt;10430
056-VI-00068.txt;17430
057-VI-00003.txt;10905
057-VI-00025.txt;11937
057-VI-00026.txt;7490
057-VI-00027.txt;13282
058-PR-00471.txt;8902
058-PR-00618.txt;10570
058-VI-00002.txt;11323
058-VI-00013.txt;11840
058-VI-00021.txt;8034
060-PR-02122.txt;9574
068-VI-00021.txt;14366
068-VI-00022.txt;10588
068-VI-00030.txt;15491
068-VI-00031.txt;46160
068-VI-00040.txt;36065
069-VI-00003.txt;11527
070-AA-00001.txt;12526
070-PR-00886.txt;49078
070-PR-00889.txt;20611
070-PR-00891.txt;11598
070-PR-00893.txt;19425
070-PR-00900.txt;16857
070-PR-00954.txt;30985
070-VI-00038.txt;10991
070-VI-00046.txt;6019
070-VI-00050.txt;11496
070-VI-00051.txt;16572
070-VI-00058.txt;11257
070-VI-00065.txt;15713
070-VI-00093.txt;4767
070-VI-00100.txt;13904
073-VI-00003.txt;15967
075-VI-00001.txt;17164
075-VI-00004.txt;7778
076-HV-00022.txt;14067
076-HV-00024.txt;13704
077-PR-00131.txt;21315
077-PR-00443.txt;22572
077-VI-00013.txt;18085
085-PR-03537.txt;18230
085-VI-00002.txt;23541
085-VI-00003.txt;14220
086-VI-00005.txt;8683
088-AA-00002.txt;3674
088-VI-00015.txt;9495
089-VI-00022.txt;27134
089-VI-00023.txt;22185
093-VI-00014.txt;13961
093-VI-00015.txt;14393
093-VI-00017.txt;9904
093-VI-00019.txt;7466
093-VI-00020.txt;9231
093-VI-00021.txt;24980
098-AA-00001.txt;16115
100-PR-00774.txt;12228
100-VI-00016.txt;15720
1003-VI-00002.txt;8599
1004-VI-00001.txt;8599
1004-VI-00002.txt;8599
101-VI-00001.txt;4929
101-VI-00002.txt;12942
101-VI-00003.txt;5423
101-VI-00005.txt;19080
101-VI-00006.txt;8026
101-VI-00007.txt;23740
101-VI-00008.txt;7453
101-VI-00010.txt;7768
101-VI-00011.txt;9803
101-VI-00014.txt;6075
101-VI-00016.txt;7449
101-VI-00017.txt;4297
101-VI-00021.txt;10027
101-VI-00022.txt;13815
101-VI-00026.txt;7748
101-VI-00027.txt;6324
101-VI-00028.txt;4310
102-VI-00005.txt;17459
102-VI-00006.txt;30664
1026-PR-02505.txt;30664
104-VI-00001.txt;9898
1043-VI-00008.txt;9898
105-VI-00001.txt;26518
105-VI-00002.txt;10893
105-VI-00004.txt;9157
105-VI-00010.txt;7516
1052-PR-03209.txt;7516
1052-PR-03234.txt;7516
106-VI-00001.txt;21683
106-VI-00002.txt;16310
106-VI-00004.txt;22536
1065-VI-00001.txt;22536
1066-HV-00066.txt;22536
1066-VI-00004.txt;22536
107-AA-00001.txt;13300
107-PR-02566.txt;24693
107-VI-00001.txt;33717
107-VI-00002.txt;36634
107-VI-00004.txt;30649
